400 		 0

500 		 0

600 		 1

700 		 2

800 		 4

900 		 6

1000 		 8

1100 		 10

1200 		 16

1300 		 23

1400 		 25

1500 		 27

1600 		 32

1700 		 39

1800 		 46

1900 		 54

2000 		 66

2100 		 76

2200 		 85

2300 		 113

2400 		 126

2500 		 198

2600 		 233

2700 		 202

2800 		 207

2900 		 221

